id	sex	age
1279	1	40
1247	1	40
763	1	40
1284	1	40
730	1	40
1419	1	40
560	1	40
1392	1	40
1701	1	40
1468	1	40
1090	1	40
1281	1	40
1733	1	40
240	1	40
968	1	40
945	1	40
928	1	40
1476	1	40
270	1	40
447	1	40
1714	1	40
437	1	40
1288	1	40
1474	1	40
389	1	40
989	1	40
1785	1	40
1390	1	40
1976	1	40
563	1	40
2306	1	40
221	1	40
1213	1	40
594	1	40
1541	1	40
1427	1	40
2207	1	40
1235	1	40
1694	1	40
1251	1	40
2218	1	40
121	1	40
1211	1	40
1473	1	40
499	1	40
982	1	40
2196	1	40
70	1	40
10	1	40
1984	1	40
565	1	40
916	1	40
2149	1	40
272	1	40
2097	1	40
2163	1	40
1980	1	40
853	1	40
413	1	40
2157	1	40
18	1	40
894	1	40
691	1	40
1897	1	40
1543	1	40
782	1	40
742	1	40
1647	1	40
2101	1	40
153	1	40
2310	1	40
1231	1	40
1961	1	40
933	1	40
745	1	40
2307	1	40
886	1	40
1574	1	40
493	1	40
2063	1	40
1515	1	40
1539	1	40
1016	1	40
1758	1	40
187	1	40
290	1	40
2125	1	40
1782	1	40
1831	1	40
2022	1	40
257	1	40
117	1	40
1089	1	40
144	1	40
52	1	40
1905	1	40
34	1	40
498	1	40
1469	1	40
304	1	40
1628	1	40
1129	1	40
852	1	40
402	1	40
762	1	40
2234	1	40
1859	1	40
1418	1	40
366	1	40
462	1	40
472	1	40
2219	1	40
1598	1	40
768	1	40
1417	1	40
262	1	40
307	1	40
13	1	40
519	1	40
513	1	40
1595	1	40
57	1	40
633	1	40
1958	1	40
674	1	40
2337	1	40
1665	1	40
233	1	40
1581	1	40
359	1	40
1680	1	40
450	1	40
1214	1	40
2136	1	40
487	1	40
296	1	40
1139	1	40
1205	1	40
1094	1	40
1662	1	40
1442	1	40
1593	1	40
496	1	40
1928	1	40
1747	1	40
1807	1	40
520	1	40
1331	1	40
1405	1	40
1103	1	40
2274	1	40
1512	1	40
578	1	40
1099	1	40
1484	1	40
1888	1	40
675	1	40
357	1	40
1045	1	40
1168	1	40
1731	1	40
207	1	40
1953	1	40
1408	1	40
2284	1	40
2079	1	40
1157	1	40
1140	1	40
2075	1	40
1122	1	40
1507	1	40
929	1	40
43	1	40
1340	1	40
549	1	40
235	1	40
82	1	40
952	1	40
1929	1	40
649	1	40
688	1	40
2160	1	40
1164	1	40
1752	1	40
1262	1	40
1950	1	40
322	1	40
143	1	40
1406	1	40
1633	1	40
53	1	40
1766	1	40
943	1	40
830	1	40
1031	1	40
2001	1	40
488	1	40
1882	1	40
2158	1	40
434	1	40
22	1	40
1901	1	40
132	1	40
1503	1	40
295	1	40
747	1	40
586	1	40
1098	1	40
379	1	40
669	1	40
796	1	40
514	1	40
1743	1	40
1040	1	40
192	1	40
531	1	40
191	1	40
