CAD_1279	 CAD_1247	 CAD_763	 CAD_1284	 CAD_730	 CAD_1419	 CAD_560	 CAD_1392	 CAD_1701	 CAD_1468	 CAD_1090	 CAD_1281	 CAD_1733	 CAD_240	 CAD_968	 CAD_945	 CAD_928	 CAD_1476	 CAD_270	 CAD_447	 CAD_1714	 CAD_437	 CAD_1288	 CAD_1474	 CAD_389	 CAD_989	 CAD_1785	 CAD_1390	 CAD_1976	 CAD_563	 CAD_2306	 CAD_221	 CAD_1213	 CAD_594	 CAD_1541	 CAD_1427	 CAD_2207	 CAD_1235	 CAD_1694	 CAD_1251	 CAD_2218	 CAD_121	 CAD_1211	 CAD_1473	 CAD_499	 CAD_982	 CAD_2196	 CAD_70	 CAD_10	 CAD_1984	 CAD_565	 CAD_916	 CAD_2149	 CAD_272	 CAD_2097	 CAD_2163	 CAD_1980	 CAD_853	 CAD_413	 CAD_2157	 CAD_18	 CAD_894	 CAD_691	 CAD_1897	 CAD_1543	 CAD_782	 CAD_742	 CAD_1647	 CAD_2101	 CAD_153	 CAD_2310	 CAD_1231	 CAD_1961	 CAD_933	 CAD_745	 CAD_2307	 CAD_886	 CAD_1574	 CAD_493	 CAD_2063	 CAD_1515	 CAD_1539	 CAD_1016	 CAD_1758	 CAD_187	 CAD_290	 CAD_2125	 CAD_1782	 CAD_1831	 CAD_2022	 CAD_257	 CAD_117	 CAD_1089	 CAD_144	 CAD_52	 CAD_1905	 CAD_34	 CAD_498	 CAD_1469	 CAD_304	 CAD_1628	 CAD_1129	 CAD_852	 CAD_402	 CAD_762	 CAD_2234	 CAD_1859	 CAD_1418	 CAD_366	 CAD_462	 CAD_472	 CAD_2219	 CAD_1598	 CAD_768	 CAD_1417	 CAD_262	 CAD_307	 CAD_13	 CAD_519	 CAD_513	 CAD_1595	 CAD_57	 CAD_633	 CAD_1958	 CAD_674	 CAD_2337	 CAD_1665	 CAD_233	 CAD_1581	 CAD_359	 CAD_1680	 CAD_450	 CAD_1214	 CAD_2136	 CAD_487	 CAD_296	 CAD_1139	 CAD_1205	 CAD_1094	 CAD_1662	 CAD_1442	 CAD_1593	 CAD_496	 CAD_1928	 CAD_1747	 CAD_1807	 CAD_520	 CAD_1331	 CAD_1405	 CAD_1103	 CAD_2274	 CAD_1512	 CAD_578	 CAD_1099	 CAD_1484	 CAD_1888	 CAD_675	 CAD_357	 CAD_1045	 CAD_1168	 CAD_1731	 CAD_207	 CAD_1953	 CAD_1408	 CAD_2284	 CAD_2079	 CAD_1157	 CAD_1140	 CAD_2075	 CAD_1122	 CAD_1507	 CAD_929	 CAD_43	 CAD_1340	 CAD_549	 CAD_235	 CAD_82	 CAD_952	 CAD_1929	 CAD_649	 CAD_688	 CAD_2160	 CAD_1164	 CAD_1752	 CAD_1262	 CAD_1950	 CAD_322	 CAD_143	 CAD_1406	 CAD_1633	 CAD_53	 CAD_1766	 CAD_943	 CAD_830	 CAD_1031	 CAD_2001	 CAD_488	 CAD_1882	 CAD_2158	 CAD_434	 CAD_22	 CAD_1901	 CAD_132	 CAD_1503	 CAD_295	 CAD_747	 CAD_586	 CAD_1098	 CAD_379	 CAD_669	 CAD_796	 CAD_514	 CAD_1743	 CAD_1040	 CAD_192	 CAD_531	 CAD_191
4.1002	 2000200	 1885900	 2158000	 2169600	 3218300	 1036700	 1848600	 2019000	 2173400	 1749600	 2168800	 2090400	 2204800	 1941700	 1581900	 1915800	 1822000	 1748800	 2416200	 1254000	 1234100	 1025000	 2409100	 2388300	 2792500	 3319300	 1715900	 4104200	 2234400	 2449000	 1609100	 1710200	 2247100	 2269600	 2207500	 2093900	 1561500	 2215200	 2036100	 2283200	 3007900	 2411300	 1807400	 2121700	 1884900	 2155000	 2356800	 2010700	 2920100	 3551100	 3434800	 3504800	 4135100	 3601900	 2721300	 2368900	 1979900	 1983600	 1648700	 1230800	 3270000	 2104100	 2392000	 2590000	 2165300	 3390600	 1843600	 1978000	 2891000	 3209000	 2228100	 2503800	 2228100	 2925200	 2762500	 1540400	 2710400	 3039800	 2106200	 2045300	 2003300	 3002100	 2120100	 1755100	 1689500	 1305000	 2374600	 2784000	 2246300	 2427500	 2346100	 2068700	 2662200	 2209400	 1596500	 2183000	 1953200	 2619000	 1462200	 2244000	 2803100	 2846500	 2166300	 1694500	 2758500	 2347400	 2124900	 3451800	 2331100	 2539300	 2195800	 1483500	 1740500	 2124800	 2513000	 1679300	 1732900	 1691800	 1921100	 2169300	 2603300	 1493800	 1558300	 1924900	 2729200	 2347500	 1604500	 2989100	 1828100	 1918400	 1973100	 1562600	 1991100	 2966600	 1824300	 1766800	 2764000	 2087000	 2025500	 1785600	 1895200	 3283500	 2602400	 2175300	 2968600	 3576100	 3026700	 2001900	 2073200	 2665500	 2481400	 2820800	 2193200	 1959000	 4618900	 5239700	 3518900	 2884500	 1562600	 2465000	 1900200	 2564300	 2209200	 2120400	 1712400	 2910700	 2861100	 3359100	 2676800	 3243200	 1873700	 1503500	 2636000	 2339300	 2238100	 2283100	 3254100	 2457700	 1394900	 2522700	 2283300	 1797000	 3033900	 3376900	 3105900	 5277800	 2889700	 2778100	 2099000	 2444200	 3020700	 2218500	 3531800	 2567700	 3993700	 2876000	 2538300	 3135000	 2043600	 2628800	 2637800	 2355500	 2815200	 2661200	 3593500	 2975200	 1641300	 2216100	 2598300	 2518000	 1742100	 2527900	 3131500	 3473600	 2015400	 2155000	 1391000
4.1007	 1963400	 1871100	 2153500	 2155600	 3172400	 1028100	 1824900	 1999800	 2178000	 1743500	 2147200	 2063100	 2188600	 1931100	 1559000	 1900600	 1812700	 1736000	 2385300	 1240800	 1225000	 1022900	 2453900	 2397700	 2785100	 3320500	 1764700	 4121000	 2231400	 2456300	 1628400	 1724500	 2269700	 2298400	 2224200	 2140900	 1571600	 2241400	 2048100	 2272600	 3028600	 2450500	 1798700	 2150800	 1893900	 2148300	 2358900	 2012400	 2945600	 3458000	 3461200	 3529400	 4129900	 3610900	 2669100	 2386900	 1999100	 1983100	 1613300	 1201900	 3181900	 2109600	 2403300	 2593200	 2212000	 3431800	 1852300	 2012400	 2912900	 3232800	 2258600	 2517900	 2270200	 2957000	 2803800	 1572600	 2763200	 3011200	 2111200	 2094600	 2031500	 3022900	 2155600	 1788600	 1694900	 1306200	 2396000	 2794400	 2260600	 2436700	 2350900	 2086600	 2685600	 2226100	 1602900	 2190000	 1972200	 2649300	 1466000	 2257500	 2818300	 2880600	 2183300	 1694900	 2792300	 2368100	 2137600	 3455900	 2364700	 2549700	 2203800	 1475300	 1750700	 2125100	 2516700	 1702400	 1734500	 1697200	 1937900	 2171600	 2656700	 1524500	 1552300	 1936300	 2780800	 2351300	 1611000	 3027300	 1836100	 1934200	 2030900	 1565200	 2006200	 2967800	 1840600	 1792300	 2869400	 2134100	 2040500	 1791900	 1919300	 3073900	 2604700	 2162700	 3136400	 3620300	 3060300	 2002300	 2083300	 2723400	 2546700	 2862800	 2201300	 1967800	 4598700	 5247600	 3556400	 2917900	 1560500	 2483100	 1895700	 2590600	 2255100	 2140400	 1752400	 2916000	 2872800	 3554900	 2678800	 3282200	 1891200	 1502100	 2644300	 2390000	 2250400	 2306900	 3279600	 2479800	 1401000	 2551300	 2299800	 1825000	 3057300	 3412800	 3164400	 5245000	 2922600	 2862700	 2111500	 2430000	 3059500	 2231400	 3548700	 2581700	 4004000	 2891500	 2536600	 3131900	 2060100	 2643400	 2660000	 2350400	 2808600	 2687600	 3605100	 3017500	 1649100	 2224100	 2597000	 2552900	 1739500	 2547200	 3148200	 3485500	 2012000	 2132100	 1396000
4.1013	 1949500	 1870100	 2155300	 2149600	 3146000	 1030500	 1808300	 2003600	 2196500	 1737600	 2133500	 2053900	 2181600	 1932100	 1553300	 1896000	 1812800	 1733300	 2368500	 1240400	 1224300	 1035700	 2506000	 2422100	 2795000	 3342100	 1829200	 4167200	 2238400	 2483100	 1656100	 1756300	 2314200	 2347500	 2246400	 2206000	 1598600	 2267800	 2081200	 2282100	 3059600	 2494600	 1799300	 2196600	 1910600	 2154600	 2366200	 2021900	 2986000	 3350000	 3478200	 3534400	 4118900	 3615400	 2631900	 2422300	 2040500	 1953800	 1635800	 1173200	 3075500	 2110300	 2445000	 2607600	 2241800	 3468000	 1870000	 2050900	 2929600	 3270000	 2301600	 2549400	 2323300	 2995600	 2849400	 1616600	 2817900	 2996200	 2139600	 2160100	 2072700	 3004100	 2188200	 1825200	 1708700	 1307300	 2426600	 2814300	 2295500	 2458800	 2368200	 2106200	 2723100	 2257900	 1618400	 2197400	 2008100	 2696900	 1476100	 2281900	 2856500	 2927900	 2207200	 1706200	 2850800	 2402200	 2153500	 3476400	 2415300	 2571500	 2218000	 1481700	 1756000	 2138200	 2530900	 1730000	 1742500	 1712000	 1959500	 2180900	 2731000	 1572200	 1547400	 1959200	 2866800	 2362100	 1622400	 3078600	 1854800	 1958800	 2117700	 1576900	 2033700	 2977100	 1867800	 1822100	 3019000	 2201900	 2069000	 1814300	 1963600	 2843900	 2607500	 2169400	 3379200	 3688800	 3131200	 2011900	 2101500	 2804200	 2641700	 2929600	 2213900	 1985800	 4590900	 5284900	 3613500	 2960500	 1565300	 2502700	 1895600	 2642200	 2312100	 2160400	 1815600	 2932000	 2905100	 3846300	 2698700	 3340800	 1917000	 1499200	 2658200	 2483500	 2280700	 2344300	 3325500	 2518900	 1418000	 2604300	 2318200	 1858900	 3086200	 3465200	 3254000	 5224200	 2983300	 3007400	 2137900	 2429200	 3126200	 2252800	 3579100	 2620700	 4022800	 2920800	 2550400	 3148900	 2084800	 2667400	 2705700	 2360700	 2810700	 2726300	 3626700	 3088700	 1678400	 2255500	 2608300	 2619700	 1744600	 2576800	 3183900	 3502100	 2020400	 2128900	 1413800
4.1018	 1952100	 1879600	 2151100	 2153800	 3127900	 1043700	 1805900	 2024000	 2233700	 1741400	 2129200	 2058400	 2188000	 1939200	 1563100	 1899800	 1812500	 1733700	 2363700	 1254600	 1233800	 1069700	 2582300	 2462800	 2819100	 3376000	 1920800	 4245700	 2258800	 2521100	 1697300	 1802600	 2369200	 2414100	 2280200	 2300600	 1642000	 2304600	 2143000	 2300300	 3099400	 2546000	 1810200	 2243300	 1937300	 2174900	 2385500	 2053500	 3033000	 3232200	 3485700	 3513700	 4100600	 3613700	 2614700	 2462900	 2098000	 1902000	 1709100	 1159300	 3014100	 2095400	 2505600	 2639200	 2280100	 3496000	 1883100	 2089400	 2961800	 3315200	 2355300	 2600500	 2380900	 3041800	 2894700	 1674000	 2851000	 2997700	 2192700	 2245600	 2129200	 3144000	 2212600	 1860700	 1730200	 1312000	 2474200	 2847900	 2350800	 2504300	 2400500	 2139900	 2773400	 2302300	 1639800	 2210100	 2054700	 2774000	 1496100	 2319200	 2924500	 2986000	 2248400	 1723000	 2942700	 2444600	 2171700	 3518600	 2480200	 2607200	 2240500	 1500200	 1767700	 2161200	 2559100	 1770800	 1753000	 1739300	 1992000	 2202800	 2829500	 1642600	 1551700	 1993300	 2986600	 2391700	 1653800	 3151200	 1889600	 2001000	 2251600	 1591800	 2081900	 3001700	 1904100	 1859800	 3230700	 2314100	 2115000	 1843800	 2030000	 2661800	 2613400	 2191500	 3678300	 3788500	 3267100	 2032900	 2128900	 2923200	 2779100	 3032100	 2241800	 2011500	 4601700	 5363300	 3707300	 3020400	 1576600	 2531700	 1902800	 2719600	 2385200	 2187600	 1902900	 2958500	 2954900	 4154200	 2734900	 3435700	 1955100	 1506600	 2673400	 2634900	 2341900	 2390900	 3392300	 2577900	 1437100	 2689300	 2332900	 1906400	 3122600	 3550100	 3399300	 5235900	 3074900	 3213500	 2172400	 2447300	 3222400	 2294400	 3628800	 2676600	 4059000	 2979700	 2568700	 3178700	 2116500	 2704300	 2783700	 2385400	 2830400	 2787100	 3651400	 3201000	 1724100	 2308400	 2638200	 2724700	 1760500	 2629400	 3241000	 3533200	 2037000	 2140400	 1435800
4.1024	 1976200	 1895800	 2162300	 2171300	 3118000	 1074400	 1805200	 2063600	 2293000	 1754300	 2142000	 2076400	 2221100	 1953400	 1576300	 1918600	 1818000	 1748700	 2374600	 1277100	 1257100	 1118900	 2694500	 2517100	 2861400	 3436100	 2058600	 4367400	 2295500	 2569900	 1749400	 1858100	 2443400	 2500200	 2327800	 2435400	 1699800	 2377100	 2231100	 2322100	 3150500	 2603400	 1825900	 2283000	 1973000	 2222200	 2429900	 2101900	 3097400	 3121800	 3472800	 3477800	 4081300	 3595100	 2633200	 2491900	 2171300	 1869600	 1808600	 1161300	 3036400	 2070200	 2557200	 2696600	 2397000	 3526600	 1892700	 2138400	 3031900	 3364800	 2410700	 2667800	 2446100	 3106000	 2930000	 1738700	 2886600	 3004000	 2268800	 2350200	 2207400	 3578800	 2243200	 1892900	 1763900	 1328500	 2543900	 2902400	 2426400	 2573200	 2454100	 2196200	 2851600	 2358300	 1667500	 2238200	 2112200	 2886200	 1535000	 2364200	 3023600	 3063900	 2319000	 1737200	 3088400	 2500900	 2204100	 3595500	 2574500	 2659100	 2280300	 1533100	 1786800	 2193200	 2604100	 1830100	 1767500	 1781800	 2040600	 2227700	 2978400	 1747700	 1563500	 2037900	 3157600	 2439200	 1697900	 3256700	 1939700	 2061000	 2451700	 1609300	 2159700	 3053900	 1957700	 1918000	 3558000	 2480400	 2183900	 1885600	 2124700	 2537400	 2628000	 2224200	 3968300	 3939000	 3488400	 2067000	 2173700	 3096100	 2980700	 3207500	 2283400	 2042400	 4640700	 5480700	 3841200	 3117600	 1594100	 2582300	 1916700	 2824600	 2488300	 2234400	 2016100	 3006100	 3025400	 4312900	 2793300	 3585600	 2009500	 1536800	 2692900	 2817700	 2428200	 2459300	 3500400	 2666200	 1463900	 2813900	 2369300	 1997500	 3176500	 3674600	 3624400	 5297200	 3218200	 3469000	 2216100	 2489900	 3353600	 2361300	 3697200	 2751500	 4129400	 3086600	 2595700	 3223100	 2162900	 2767900	 2904700	 2423500	 2862800	 2881100	 3693500	 3369400	 1791800	 2383800	 2682500	 2877400	 1790100	 2712300	 3326900	 3593900	 2066800	 2168000	 1463500
4.1029	 2032100	 1916000	 2198800	 2197500	 3126300	 1119200	 1810700	 2124300	 2370400	 1771200	 2175100	 2108500	 2286900	 1976900	 1610300	 1955600	 1842000	 1775700	 2400000	 1302400	 1295300	 1185700	 2861000	 2592100	 2921700	 3529200	 2252000	 4555300	 2351100	 2645300	 1823800	 1936600	 2558300	 2624400	 2395200	 2627700	 1773700	 2493900	 2346600	 2363200	 3229100	 2674900	 1840900	 2325900	 2023500	 2302500	 2501800	 2157000	 3194100	 3019400	 3442600	 3430000	 4067700	 3574300	 2676600	 2512600	 2274100	 1880300	 1910400	 1178100	 3125000	 2043600	 2581400	 2789100	 2646800	 3614500	 1903600	 2229000	 3172300	 3423700	 2466700	 2754900	 2525700	 3236800	 3005600	 1803700	 2960900	 3017700	 2375900	 2454900	 2306200	 4158700	 2314100	 1952000	 1809500	 1359900	 2638800	 2996900	 2535400	 2687300	 2538000	 2282300	 2987700	 2436800	 1710400	 2283800	 2197700	 3050700	 1593100	 2437300	 3168300	 3189700	 2427400	 1759300	 3303600	 2602000	 2264600	 3716200	 2719400	 2736200	 2331700	 1582300	 1820800	 2247700	 2674700	 1906600	 1791500	 1848500	 2115500	 2258600	 3200300	 1895600	 1570700	 2104000	 3402500	 2508900	 1761500	 3405300	 1998300	 2134300	 2728800	 1631500	 2269500	 3138800	 2036600	 2002400	 4046500	 2703200	 2288700	 1949600	 2275000	 2455300	 2645100	 2276100	 4203700	 4161400	 3807400	 2110600	 2238600	 3354500	 3275800	 3494100	 2342400	 2095400	 4712300	 5647200	 4038300	 3271400	 1617700	 2655400	 1941900	 2980900	 2638600	 2310400	 2170000	 3079000	 3136400	 4212400	 2881900	 3816800	 2085400	 1582500	 2718400	 2974400	 2545200	 2575100	 3687100	 2804400	 1503200	 2979300	 2440100	 2120700	 3265800	 3837900	 3939100	 5407400	 3449100	 3716500	 2289800	 2551100	 3553900	 2456100	 3804200	 2859100	 4258800	 3261300	 2645000	 3298000	 2243300	 2866700	 3080800	 2482900	 2927500	 3014000	 3766000	 3612400	 1881100	 2491900	 2751500	 3106100	 1836000	 2832700	 3448600	 3702600	 2120700	 2210100	 1505300
4.1035	 2115300	 1933900	 2248700	 2245700	 3154100	 1176900	 1830500	 2214800	 2474000	 1802700	 2233700	 2163400	 2386900	 2016400	 1668500	 2008300	 1890100	 1820400	 2446300	 1335800	 1357900	 1274800	 3116100	 2708600	 3004100	 3651600	 2505500	 4842600	 2433700	 2772200	 1943000	 2055800	 2730600	 2799200	 2494800	 2851800	 1886700	 2652300	 2503600	 2429600	 3355800	 2765600	 1873300	 2396900	 2103200	 2423900	 2611000	 2241400	 3327700	 2925300	 3402300	 3387200	 4047800	 3557500	 2729400	 2531500	 2433400	 1925800	 1996400	 1211100	 3246700	 2033400	 2572000	 2926600	 2932100	 3838700	 1921000	 2388200	 3400600	 3549200	 2556100	 2869000	 2678200	 3480700	 3226000	 1891500	 3100000	 3046500	 2514800	 2523000	 2405800	 4612200	 2452400	 2067300	 1878800	 1403400	 2768500	 3153200	 2695800	 2876000	 2679900	 2413100	 3171800	 2557300	 1777400	 2353300	 2330300	 3303900	 1662400	 2551200	 3386400	 3386800	 2565300	 1801100	 3587100	 2757000	 2361900	 3911700	 2942100	 2843600	 2412400	 1656500	 1875700	 2336700	 2784200	 2016500	 1822100	 1949800	 2229600	 2311300	 3481200	 2064000	 1592500	 2208300	 3706100	 2615100	 1857800	 3613200	 2076200	 2237900	 3071600	 1668300	 2431900	 3270700	 2141500	 2111300	 4662900	 2946100	 2448200	 2040500	 2496200	 2398200	 2674600	 2359000	 4267100	 4505300	 4188000	 2167300	 2339800	 3701800	 3655600	 3881700	 2434500	 2185800	 4820600	 5869400	 4318400	 3494400	 1658000	 2775400	 1986100	 3209500	 2873000	 2428300	 2377900	 3180200	 3308000	 3951300	 3007000	 4137300	 2200500	 1632600	 2777600	 3019300	 2711400	 2749900	 3997900	 3009100	 1557300	 3174400	 2552000	 2233500	 3408300	 4047300	 4278800	 5557300	 3783500	 3895500	 2414500	 2633800	 3825400	 2589200	 3974000	 3008200	 4474700	 3529900	 2727400	 3418300	 2379900	 3011600	 3284600	 2586200	 3039400	 3199500	 3879100	 3936800	 2008700	 2634200	 2863600	 3423700	 1900300	 3008900	 3624100	 3891100	 2191000	 2266000	 1573700
4.104	 2232400	 1965300	 2321500	 2319800	 3199500	 1254300	 1857600	 2353300	 2604000	 1860400	 2317100	 2260600	 2521800	 2080500	 1755700	 2079200	 1961600	 1888400	 2514000	 1387500	 1444800	 1389200	 3474300	 2881400	 3124600	 3832100	 2786200	 5254000	 2559300	 2968100	 2089200	 2193800	 2963000	 3034700	 2647900	 3004800	 2056300	 2847000	 2728000	 2539000	 3538200	 2913700	 1930500	 2505300	 2229800	 2587300	 2771400	 2366000	 3517100	 2854800	 3354000	 3359600	 4012200	 3545300	 2783200	 2547100	 2641200	 1989500	 2057100	 1256800	 3371700	 2052100	 2604300	 3119800	 3100800	 4181300	 1942900	 2600800	 3707200	 3847600	 2732300	 2991100	 2952700	 3815100	 3592100	 2074000	 3266300	 3085800	 2648800	 2546200	 2477400	 4776300	 2618600	 2250800	 1984300	 1476000	 2931300	 3390700	 2931400	 3167900	 2887300	 2576600	 3342100	 2737000	 1873300	 2460400	 2543600	 3652500	 1756700	 2706300	 3711300	 3641900	 2718400	 1870400	 3850500	 2956400	 2480700	 4205900	 3243400	 2969900	 2544200	 1761300	 1958400	 2453500	 2954500	 2185000	 1877500	 2102700	 2401600	 2390500	 3737000	 2177800	 1642600	 2370700	 3952600	 2780800	 2001500	 3893000	 2204800	 2376100	 3389500	 1730500	 2673800	 3470400	 2272700	 2234000	 5175500	 3104500	 2668600	 2154200	 2753000	 2360700	 2736900	 2488700	 4032200	 5019400	 4477100	 2249600	 2483800	 4038900	 4002100	 4207800	 2582200	 2296700	 4976200	 6105300	 4648900	 3750200	 1715600	 2961400	 2069300	 3499100	 3222900	 2581800	 2675600	 3297600	 3551700	 3673000	 3149500	 4486900	 2372500	 1686700	 2891500	 2908700	 2950800	 2956300	 4441500	 3275700	 1632200	 3354900	 2700400	 2280400	 3628900	 4271800	 4482300	 5750900	 4165000	 3902300	 2589000	 2752700	 4094600	 2787100	 4220100	 3235800	 4810100	 3897200	 2869100	 3603400	 2582900	 3200200	 3457100	 2752100	 3217200	 3415600	 4052600	 4290200	 2198000	 2787000	 3023800	 3768900	 1989800	 3225900	 3874900	 4170400	 2289700	 2341200	 1673500
4.1046	 2400400	 2020200	 2438100	 2417200	 3256300	 1344600	 1899500	 2558400	 2763800	 1939300	 2447800	 2418000	 2701200	 2178200	 1881100	 2174500	 2051700	 1996300	 2610200	 1462900	 1560400	 1534000	 3899000	 3098200	 3296600	 4110300	 2981000	 5801000	 2744200	 3201400	 2216700	 2315500	 3223700	 3274700	 2853400	 2978700	 2294100	 3034400	 3017600	 2694600	 3767900	 3165500	 2002300	 2642400	 2396700	 2767100	 2969100	 2500000	 3763000	 2815000	 3302500	 3341900	 3954600	 3532700	 2838400	 2552500	 2857500	 2054800	 2086700	 1298700	 3479700	 2105100	 2751000	 3354400	 3098300	 4480300	 1979300	 2787800	 4009600	 4316200	 3020100	 3067400	 3306400	 4075700	 3904700	 2390900	 3405400	 3114700	 2730000	 2548900	 2501700	 4644700	 2746000	 2432700	 2102300	 1588100	 3089600	 3671000	 3248900	 3522100	 3133500	 2745300	 3420500	 2986600	 1989100	 2581900	 2808000	 4014900	 1887900	 2906600	 4098500	 3877200	 2821700	 1978500	 3937500	 3148500	 2592600	 4579300	 3536900	 3089400	 2732500	 1896000	 2075000	 2553000	 3168000	 2439400	 1969300	 2326800	 2650000	 2500500	 3831000	 2148000	 1724400	 2570900	 3972700	 2980100	 2193700	 4168100	 2398700	 2499900	 3553800	 1825300	 2975000	 3743300	 2393600	 2328400	 5232300	 3055800	 2894400	 2257800	 2977100	 2340700	 2845200	 2664400	 3660600	 5662000	 4481900	 2379900	 2629100	 4176300	 4104900	 4257900	 2818600	 2394100	 5188900	 6251500	 4910600	 3933300	 1796800	 3175300	 2214300	 3768600	 3671000	 2737100	 3114800	 3388200	 3829100	 3451500	 3274000	 4697800	 2588800	 1763900	 3071700	 2724200	 3252500	 3114200	 4883100	 3530000	 1747400	 3450000	 2845600	 2218400	 3900200	 4421300	 4407800	 5989500	 4429400	 3698700	 2774300	 2933800	 4234800	 3022200	 4493100	 3545600	 5201000	 4290600	 3084100	 3856600	 2811200	 3372500	 3575900	 2971100	 3476500	 3593200	 4280000	 4554300	 2463200	 2907900	 3204000	 4015500	 2117100	 3404900	 4161000	 4500400	 2422800	 2457300	 1795200
4.1051	 2628600	 2103400	 2587100	 2541000	 3325500	 1451900	 1972400	 2817200	 2943700	 2040500	 2636400	 2647900	 2934300	 2315000	 2044700	 2309000	 2165700	 2148500	 2750500	 1566000	 1695500	 1710300	 4218100	 3297600	 3497200	 4500000	 2962400	 6422000	 2964300	 3415300	 2268000	 2359600	 3414100	 3424300	 3039600	 2783200	 2556900	 3129500	 3306700	 2882500	 3977900	 3466900	 2082000	 2786400	 2552000	 2919800	 3151900	 2599900	 3989700	 2798800	 3249600	 3332000	 3881400	 3518300	 2884600	 2536800	 3040600	 2106200	 2086500	 1325900	 3555600	 2172900	 2978900	 3556600	 2955100	 4598000	 2064400	 2833600	 4124100	 4713800	 3336100	 3083200	 3538300	 4107000	 3974100	 2745700	 3482600	 3109700	 2741200	 2563100	 2488900	 4294000	 2782500	 2498800	 2184700	 1716500	 3164400	 3855500	 3575600	 3843100	 3347700	 2863200	 3378300	 3250600	 2075000	 2653800	 2974400	 4210500	 2045500	 3112000	 4402700	 3974700	 2804300	 2121100	 3798300	 3228600	 2661900	 4907500	 3677600	 3184700	 2966800	 2048900	 2214900	 2577600	 3337600	 2769800	 2090900	 2585400	 2904500	 2613200	 3682800	 1978500	 1837700	 2744900	 3745100	 3136700	 2379500	 4276800	 2611800	 2538600	 3437700	 1944300	 3218700	 4015600	 2440700	 2344700	 4749200	 2821000	 3024700	 2302300	 3055700	 2336200	 3007100	 2883300	 3330400	 6218100	 4210100	 2578800	 2712600	 3988800	 3872300	 4034600	 3118400	 2444900	 5442100	 6182100	 4943000	 3926900	 1899500	 3304500	 2418300	 3892300	 4059100	 2823700	 3671900	 3398500	 4042400	 3291300	 3320100	 4610000	 2793400	 1887000	 3318100	 2553700	 3534200	 3128700	 5101400	 3660000	 1902700	 3389200	 2920500	 2097700	 4104200	 4381600	 4115200	 6204400	 4396400	 3416300	 2904100	 3222500	 4120000	 3194900	 4674100	 3832200	 5472900	 4565000	 3321100	 4109700	 2961200	 3437600	 3604000	 3186300	 3783500	 3652400	 4502600	 4603500	 2801200	 2935000	 3327500	 4023800	 2288800	 3441900	 4343000	 4783400	 2576200	 2638000	 1908100
