	mCV23893269	rs13480052	rs13480057	mCV23955099	rs3695693	gnf09.009.970	rs13480084	rs13480088	rs13480103	rs6400838	D9Mit229	rs3710982	rs3688570	rs13480211	rs3666398	rs3708863	rs3699230	rs13480231	rs3672857	rs13480250	rs6317714	rs6315093	rs3154890	rs6257131	gnf09.088.487	D9Mit12	UT_9_113.827703	rs3681899	rs6229298	rs3700085
Chrom	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
cM	0	0	0	0	0	5.6	6.4	6.4	8.9	25.9	25.9	27.4	29.7	29.7	29.7	30.4	32.2	32.2	34.2	34.8	34.8	34.8	37.3	41	46.9	53.2	61.7	70.6	70.6	72
Mb	3980881	6388205	7620550	8534239	9632007	15539180	17122788	18140437	23359729	44302276	49293351	50720207	54868302	55896912	56790950	57775693	61357334	62184531	65761685	66826712	67956830	68787848	71620971	79059621	91737910	99719685	111228848	115918856	116901786	119643381
X8185_5.months_fed_HF	a	a	a	a	a	a	a	a	a	a	a	ND	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h
X8186_5.months_fed_HF	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	ND	b	b
X8187_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	ND	a	a	ND	a	a
X8188_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	ND	ND	b	b	b	b
X8194_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	ND	ND	ND	ND	a	a	a	a	ND	ND	a	a
X8195_5.months_fed_HF	ND	ND	ND	ND	ND	ND	h	ND	ND	ND	a	ND	ND	ND	ND	h	a	ND	ND	ND	ND	ND	ND	ND	ND	h	ND	ND	ND	ND
X8196_5.months_fed_HF	a	a	a	a	a	a	a	a	a	h	h	b	h	h	h	h	h	h	h	h	h	h	h	h	h	h	b	b	b	b
X8197_5.months_fed_HF	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	ND	h	h	h	h	h
X8204_5.months_fed_HF	b	b	b	b	b	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	b	b	b	b	b	b	b
X8205_5.months_fed_HF	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	ND	a	a	a	a	a	a	a	a	a	a	a	h	h	h
X8213_5.months_fed_HF	ND	ND	ND	ND	ND	ND	ND	ND	h	ND	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	ND	ND	b	b
X8218_5.months_fed_HF	b	b	b	b	b	b	b	b	b	h	h	h	h	h	h	h	a	a	a	ND	h	h	h	h	h	h	h	h	h	h
X8219_5.months_fed_HF	a	a	a	a	a	a	a	a	a	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	h	h	h
X8220_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	a
X8221_5.months_fed_HF	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	h	h	h	h	h	h	h
X8222_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	a	h	h	h	h	h	h	h	h	h	h	h	h	h	ND	a	h	h	h	h
X8223_5.months_fed_HF	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	b	b	b	b	b	ND	h	h	h	h	h
X8228_5.months_fed_HF	b	b	b	b	b	ND	ND	h	h	h	h	ND	a	a	a	a	a	a	a	a	a	a	a	a	ND	h	h	h	h	h
X8229_5.months_fed_HF	b	b	b	b	b	b	b	b	h	h	h	h	h	h	h	a	h	h	h	h	h	h	h	h	h	h	h	h	h	h
X8230_5.months_fed_HF	h	h	h	h	h	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	h	h	h
X8246_5.months_fed_HF	ND	ND	a	ND	ND	ND	ND	ND	b	ND	h	ND	ND	ND	ND	ND	a	b	b	b	a	ND	ND	ND	ND	h	ND	ND	ND	a
X8251_5.months_fed_HF	h	h	h	h	h	ND	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	h	h	h	h	h	h	h	a
X8252_5.months_fed_HF	b	b	b	b	b	b	b	b	b	h	h	b	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h
X8253_5.months_fed_HF	h	h	h	h	h	h	h	h	h	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
X8258_5.months_fed_HF	h	h	h	h	h	h	h	h	h	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
X8259_5.months_fed_HF	h	h	h	h	h	h	h	h	h	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
X8260_5.months_fed_HF	b	b	b	b	b	b	b	b	h	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	h	h	h	h
